"","Stud_ID","PROJ_TOTAL","Proj01","Proj02","Proj03","Proj04","Proj05","Proj06","Proj07","Proj08","Proj09","Proj10","Proj11","Total_Pts","Exam1","Exam2","Exam3","Prob_solve_pre","Prob_solve_post","extraversion","agreeableness","conscient.","stability","openness","Metacog.","SelfEfficacy","IntGoalOrient","ExtGoalOrient"
"127","7e83c374a",371,14,20,19,26,38,40,25,48,53,38,50,732,60,110,91,14.5,12,37,51,64,41,60,47,36,17,23
"128","0c10e7712",415,14,20,20,37,43,43,50,45,50,38,55,858,92,100,151,11,11,41,29,48,45,53,54,44,19,24
"129","cf175341d",390,12,19,12,36,38,35,46,44,49,46,53,808,92,115,121,9,1,40,40,40,40,40,44,42,17,17
"130","d8eb6f09d",403,13,20,18,37,34,39,50,45,49,46,52,871,88,115,175,13,20.5,31,49,52,32,50,39,37,19,17
"131","701918e3b",412,14,20,12,38,41,41,50,42,53,50,51,904,92,135,165,8.33333333333333,15.3333333333333,38,46,38,46,39,56,53,28,27
"132","26dc5cf0c",421,14,20,20,40,43,36,44,50,53,46,55,813,76,120,96,16,20,43,53,39,49,67,48,43,23,20
"133","fbf808e18",398,14,20,20,7,40,43,50,50,55,45,54,789,88,120,125,10,15.5,37,51,46,48,49,50,37,14,20
"134","491822bdc",219,12,17,18,7,38,36,41,5,11,0,34,410,60,60,60,NA,10.8333333333333,41,56,44,NA,42,NA,NA,NA,NA
"135","82f2228ab",313,14,16,11,32,5,42,29,23,54,35,52,708,76,120,116,12,17,44,55,35,40,50,25,28,21,20
"136","02ae7806d",4,0,4,0,0,0,0,0,0,0,0,0,44,40,0,0,10.1666666666667,NA,NA,NA,NA,NA,NA,43,14,10,17
"137","18b68aa83",342,14,20,18,28,21,36,36,42,48,34,45,673,68,105,86,NA,0,47,57,45,43,57,NA,NA,NA,NA
"138","499b9c4e8",396,14,19,19,30,39,43,50,45,53,29,55,825,64,130,135,7.66666666666667,10.3333333333333,46,58,59,55,52,50,34,17,15
"139","2eeb5834c",438,14,20,20,40,44,43,50,47,53,55,52,960,92,145,185,8,14,40,47,54,46,51,57,44,24,24
"140","1a9ac0183",230,0,0,0,31,41,15,20,15,37,31,40,643,68,130,116,8.5,NA,NA,NA,NA,NA,NA,60,48,15,24
"141","335e71e7a",434,12,18,18,40,42,45,50,48,55,52,54,927,88,140,165,12,12,44,43,38,36,44,34,39,15,28
"142","177ddb261",270,12,10,9,18,28,25,26,0,39,49,54,555,60,105,120,9,11,41,40,39,44,40,55,40,21,25
"143","eceb4c941",419,13,20,17,38,42,41,47,48,53,48,52,861,72,120,150,6,10.6666666666667,30,32,43,48,29,34,32,16,28
"144","f91fb9454",362,13,6,0,28,18,40,50,50,50,52,55,815,68,130,155,2,11.5,38,44,42,47,41,40,32,16,16
"145","b792b9672",406,14,15,19,22,45,45,44,45,55,47,55,844,84,125,130,12.5,8,49,54,44,45,46,44,36,25,21
"146","195c6e79d",446,15,19,20,40,44,45,48,50,55,55,55,860,64,110,140,20,10,47,46,46,32,58,60,53,23,12
"147","e6831b204",417,15,15,18,22,45,45,50,50,54,52,51,875,84,125,150,6.33333333333333,17.5,46,55,36,46,56,56,38,14,28
"148","981d09243",343,13,20,15,0,44,40,23,36,46,51,55,739,60,105,131,14.8333333333333,5.5,44,50,34,45,49,NA,NA,NA,NA
"149","6f45729db",419,15,20,20,32,45,43,48,49,50,42,55,807,88,105,95,10.3333333333333,8.33333333333333,39,61,42,61,57,40,47,18,17
"150","902c49845",445,15,20,19,40,45,45,50,50,55,51,55,894,88,105,156,3.66666666666667,13,38,44,62,51,48,61,54,28,23
"151","54fd144b7",430,9,20,18,38,43,43,50,50,55,49,55,894,84,140,140,10,1.33333333333333,52,40,46,50,46,45,50,20,26
"152","109f58e5c",447,14,19,20,40,44,45,50,50,55,55,55,931,84,140,160,5,7.5,39,61,63,54,46,44,44,23,26
"153","dd75bd2d0",448,15,20,20,40,45,45,48,50,55,55,55,864,76,110,130,15,16.5,26,56,49,NA,52,56,29,18,28
"154","793c35f77",448,14,19,20,40,45,45,50,50,55,55,55,890,88,135,120,10.5,22,45,41,52,59,48,47,40,26,15
"155","d5ab297ce",327,12,20,20,32,0,41,50,50,55,0,47,707,88,110,90,8,18,40,48,40,42,49,65,55,28,24
"156","c3b122494",405,14,18,15,22,45,45,50,50,55,36,55,781,56,110,110,8,1,37,42,63,48,46,40,32,16,16
"157","6f2023cdd",54,15,20,14,5,0,0,0,0,0,0,0,116,40,0,0,3.33333333333333,NA,NA,NA,NA,NA,NA,45,28,23,20
"158","17a693ef1",446,15,20,20,40,45,45,50,50,55,51,55,870,88,135,101,15,18,42,41,50,60,37,37,36,10,17
"159","3b5e669bd",441,15,20,18,40,42,45,50,46,55,55,55,865,76,115,133,17,19,61,49,63,51,58,48,53,28,27
"160","204cd17c6",291,15,17,20,22,21,39,28,28,10,44,47,628,52,105,80,12,20,36,52,51,22,51,39,31,21,19
"161","6417153f4",416,15,16,18,40,45,44,43,50,52,44,49,846,80,135,115,7,17.5,53,59,59,61,50,44,40,20,24
"162","1c7959216",439,15,20,14,40,45,45,50,48,55,52,55,930,96,140,155,10,9,NA,NA,NA,NA,NA,46,38,19,28
"163","b752208d2",421,15,20,17,36,39,42,50,48,54,45,55,866,80,130,135,5.66666666666667,8.33333333333333,41,57,41,41,23,42,31,13,26
"164","1270eac93",374,15,20,12,40,45,45,50,50,0,42,55,763,64,115,110,0,5,40,40,40,40,40,40,32,16,16
"165","06ddfb1b5",293,15,20,14,22,45,39,38,0,0,45,55,687,68,110,116,3.33333333333333,9.33333333333333,57,55,48,53,44,34,43,13,17
"166","cd53b5379",388,15,16,14,38,25,36,48,45,49,47,55,713,60,90,75,2,9.66666666666667,36,60,29,24,56,NA,NA,NA,NA
"167","b909c342c",430,12,16,18,38,44,43,49,49,51,55,55,877,84,125,141,14.1666666666667,19,33,53,65,54,51,40,32,16,16
"168","efbd5de2b",441,15,20,18,40,45,45,50,50,54,49,55,900,88,130,141,12.5,12.3333333333333,37,53,NA,NA,53,63,44,19,23
"169","e6c168f4e",446,15,20,20,40,45,45,50,49,55,52,55,913,92,140,135,3.33333333333333,9.33333333333333,25,55,43,54,59,63,54,28,28
"170","120063289",343,13,19,0,31,35,37,45,18,46,44,55,722,64,105,110,3,6.5,32,34,49,43,31,52,41,24,21
"171","2e743ed41",339,14,18,13,35,27,34,45,24,50,40,39,754,68,100,155,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","1173fd1a3",448,15,20,20,40,44,45,50,50,55,54,55,940,92,140,160,6,4.66666666666667,35,48,51,41,35,49,44,17,28
"173","4fbe55a65",410,14,18,18,37,44,41,44,38,51,51,54,822,92,105,116,11.5,8.66666666666667,37,35,NA,NA,44,24,48,22,24
