"Name","Position","Team","Air Yards","Targets","Expected Catches","Actual Catches","Average Depth of Target","Expected Catch Rate","Catch Rate","Expected rec Yds","Actual Rec Yds","Expected Rec TD","Actual Rec TDs","Actual PPR Points","Expected PPR Points","PPR Points +/-","Actual Half PPR Points","Expected Half PPR Points","Half PPR Points +/-","Yards after the Catch","YAC Per Catch","Actual DK","Expected DK","DK +/-","Actual FD","Expected FD","FD +/-","Expected Rush Yards","Expected Rush TD","Actual Rush F Points","Expected Rush F Points","Touches","Carries","Rush Yds","Rush TD"
"Ty'Son Williams","RB","BAL","21","7","5.26","5","3.00","75.09%","0.71","41.40","45","0.51","0","9.50","12.48","-3.00","7.00","9.85","-2.90","44","8.80","37.90","28.25","9.70","35.40","25.62","9.80","122.57","0.58","28.40","15.77","34","27","164","2"
"Hayden Hurst","TE","ATL","21","6","4.46","5","3.50","74.35%","0.83","35.70","34","0.09","0","8.40","8.55","-0.10","5.90","6.32","-0.40","18","3.60","8.40","8.55","-0.10","5.90","6.32","-0.40","0.00","0.00","0.00","0.00","6","0","0","0"
"Ricky Seals-Jones","TE","KC","19","1","0.34","1","19.00","34.20%","1.00","6.56","19","0.32","1","8.90","2.91","6.00","8.40","2.73","5.70","0","0.00","8.90","2.91","6.00","8.40","2.73","5.70","0.00","0.00","0.00","0.00","1","0","0","0"
"Devin Smith","WR","JAX","19","1","0.54","0","19.00","53.70%","0.00","12.74","0","0.00","0","0.00","1.83","-1.80","0.00","1.56","-1.60","0","","0.00","1.83","-1.80","0.00","1.56","-1.60","0.00","0.00","0.00","0.00","1","0","0","0"
"Peyton Barber","RB","WAS","18","5","3.71","3","3.60","74.10%","0.60","32.64","31","0.31","0","6.10","8.86","-2.80","4.60","7.01","-2.40","38","12.67","26.40","31.11","-4.70","24.90","29.25","-4.40","151.74","1.18","20.30","22.25","41","36","143","1"
"Russell Gage","WR","ATL","18","9","6.62","5","2.00","73.50%","0.56","50.27","28","0.70","0","7.80","15.83","-8.00","5.30","12.52","-7.20","23","4.60","7.80","15.83","-8.00","5.30","12.52","-7.20","0.00","0.00","0.00","0.00","9","0","0","0"
"Stephen Anderson","TE","LAC","18","4","2.66","3","4.50","66.60%","0.75","24.96","10","0.20","0","4.00","6.37","-2.40","2.50","5.04","-2.50","8","2.67","4.00","6.37","-2.40","2.50","5.04","-2.50","0.00","0.00","0.00","0.00","4","0","0","0"
"K.J. Hill Jr.","WR","LAC","18","3","2.26","3","6.00","75.20%","1.00","24.52","30","0.01","0","6.00","4.76","1.20","4.50","3.63","0.90","12","4.00","6.00","4.76","1.20","4.50","3.63","0.90","0.00","0.00","0.00","0.00","3","0","0","0"
"Scotty Miller","WR","TB","18","3","2.13","2","6.00","71.10%","0.67","23.63","11","0.01","0","3.10","4.59","-1.50","2.10","3.52","-1.40","8","4.00","3.10","4.59","-1.50","2.10","3.52","-1.40","0.00","0.00","0.00","0.00","3","0","0","0"
"Demetric Felton","RB","CLE","17","5","3.81","4","3.40","76.20%","0.80","35.35","64","0.12","1","16.40","8.08","8.30","14.40","6.17","8.20","69","17.25","16.40","8.08","8.30","14.40","6.17","8.20","0.00","0.00","0.00","0.00","5","0","0","0"
"C.J. Uzomah","TE","CIN","17","5","3.76","4","3.40","75.12%","0.80","35.55","39","0.02","0","7.90","7.45","0.40","5.90","5.58","0.30","25","6.25","7.90","7.45","0.40","5.90","5.58","0.30","0.00","0.00","0.00","0.00","5","0","0","0"
"Anthony Firkser","TE","TEN","17","4","3.09","3","4.25","77.25%","0.75","27.50","19","0.01","0","4.90","5.93","-1.00","3.40","4.38","-1.00","5","1.67","4.90","5.93","-1.00","3.40","4.38","-1.00","0.00","0.00","0.00","0.00","4","0","0","0"
"Reggie Gilliam","TE","BUF","17","1","0.30","0","17.00","30.00%","0.00","5.12","0","0.29","0","0.00","2.52","-2.50","0.00","2.37","-2.40","0","","0.20","3.73","-3.50","0.20","3.58","-3.40","7.18","0.08","0.20","1.20","3","2","2","0"
"Robert Tonyan","TE","GB","16","8","5.91","6","2.00","73.91%","0.75","43.15","66","0.65","1","18.60","14.13","4.50","15.60","11.18","4.40","54","9.00","18.60","14.13","4.50","15.60","11.18","4.40","0.00","0.00","0.00","0.00","8","0","0","0"
"James Robinson","RB","JAX","15","16","12.31","13","0.94","76.91%","0.81","101.11","92","0.04","0","22.20","22.65","-0.40","15.70","16.50","-0.80","94","7.23","44.20","39.51","4.70","37.70","33.35","4.30","140.33","0.47","22.00","16.86","47","31","160","1"
"Donald Parham Jr.","TE","LAC","15","2","1.08","1","7.50","54.15%","0.50","10.80","19","0.49","0","2.90","5.12","-2.20","2.40","4.58","-2.20","7","7.00","2.90","5.12","-2.20","2.40","4.58","-2.20","0.00","0.00","0.00","0.00","2","0","0","0"
