"Name","Position","Team","Air Yards","Targets","Expected Catches","Actual Catches","Average Depth of Target","Expected Catch Rate","Catch Rate","Expected rec Yds","Actual Rec Yds","Expected Rec TD","Actual Rec TDs","Actual PPR Points","Expected PPR Points","PPR Points +/-","Actual Half PPR Points","Expected Half PPR Points","Half PPR Points +/-","Yards after the Catch","YAC Per Catch","Actual DK","Expected DK","DK +/-","Actual FD","Expected FD","FD +/-","Expected Rush Yards","Expected Rush TD","Actual Rush F Points","Expected Rush F Points","Touches","Carries","Rush Yds","Rush TD"
"Jerick McKinnon","RB","SF","2","1","0.85","1","2.00","84.90%","1.00","5.54","14","0.04","0","2.40","1.67","0.70","1.90","1.25","0.70","12","12.00","2.40","1.67","0.70","1.90","1.25","0.70","0.00","0.00","0.00","0.00","1","0","0","0"
"Jamaal Williams","RB","GB","1","14","11.38","13","0.07","81.26%","0.93","83.71","93","0.08","0","22.30","20.21","2.10","15.80","14.52","1.30","96","7.38","46.40","40.74","5.70","39.90","35.06","4.80","115.15","1.50","24.10","20.53","42","28","121","2"
"Damien Williams","RB","CHI","1","8","6.68","6","0.13","83.47%","0.75","51.68","26","0.03","0","8.60","12.02","-3.40","5.60","8.69","-3.10","25","4.17","10.40","16.37","-6.00","7.40","13.03","-5.60","35.39","0.13","1.80","4.35","16","8","18","0"
"Trey Sermon","RB","SF","1","3","2.40","2","0.33","80.00%","0.67","17.11","3","0.03","0","2.30","4.31","-2.00","1.30","3.11","-1.80","4","2.00","12.20","12.35","-0.20","11.20","11.15","0.00","45.92","0.58","9.90","8.05","14","11","39","1"
"Ronald Jones II","RB","TB","1","3","2.21","1","0.33","73.60%","0.33","16.87","9","0.01","0","1.90","3.93","-2.00","1.40","2.83","-1.40","6","6.00","7.10","12.04","-4.90","6.60","10.93","-4.30","63.44","0.29","5.20","8.11","18","15","52","0"
"Samaje Perine","RB","CIN","1","3","2.44","2","0.33","81.30%","0.67","19.18","15","0.01","0","3.50","4.41","-0.90","2.50","3.19","-0.70","14","7.00","5.60","7.23","-1.60","4.60","6.01","-1.40","27.14","0.02","2.10","2.82","9","6","21","0"
"Travis Homer","RB","SEA","1","5","3.98","5","0.20","79.50%","1.00","30.37","62","0.01","0","11.20","7.10","4.10","8.70","5.11","3.60","61","12.20","11.20","7.10","4.10","8.70","5.11","3.60","0.00","0.00","0.00","0.00","5","0","0","0"
"Ty Montgomery","RB","NO","1","2","1.37","2","0.50","68.70%","1.00","5.26","8","0.65","0","2.80","5.79","-3.00","1.80","5.10","-3.30","7","3.50","2.80","5.79","-3.00","1.80","5.10","-3.30","0.00","0.00","0.00","0.00","2","0","0","0"
"Elijhaa Penny","RB","NYG","1","1","0.81","0","1.00","80.70%","0.00","5.45","0","0.00","0","0.00","1.35","-1.40","0.00","0.95","-0.90","0","","1.10","3.06","-2.00","1.10","2.65","-1.60","15.79","0.02","1.10","1.71","5","4","11","0"
"Jason Cabinda","ILB","DET","1","2","1.58","1","0.50","79.05%","0.50","12.06","4","0.01","0","1.40","2.82","-1.40","0.90","2.03","-1.10","4","4.00","1.40","2.82","-1.40","0.90","2.03","-1.10","0.00","0.00","0.00","0.00","2","0","0","0"
"Tommy Sweeney","TE","BUF","1","2","1.49","2","0.50","74.70%","1.00","10.96","2","0.01","0","2.20","2.63","-0.40","1.20","1.88","-0.70","1","0.50","2.20","2.63","-0.40","1.20","1.88","-0.70","0.00","0.00","0.00","0.00","2","0","0","0"
"Gary Brightwell","RB","NYG","1","1","0.84","1","1.00","84.30%","1.00","5.94","6","0.00","0","1.60","1.45","0.10","1.10","1.03","0.10","5","5.00","2.00","1.87","0.10","1.50","1.45","0.10","4.16","0.00","0.40","0.42","2","1","4","0"
"Joe Mixon","RB","CIN","0","7","5.33","6","0.00","76.07%","0.86","38.59","29","0.00","0","8.90","9.18","-0.30","5.90","6.52","-0.60","30","5.00","43.50","45.65","-2.20","40.50","42.99","-2.50","298.26","1.11","34.60","36.47","74","67","286","1"
"Antonio Gibson","RB","WAS","0","9","7.20","6","0.00","80.03%","0.67","50.71","95","0.50","1","21.50","15.29","6.20","18.50","11.69","6.80","96","16.00","40.50","38.02","2.50","37.50","34.42","3.10","202.99","0.41","19.00","22.73","54","45","190","0"
"Latavius Murray","RB","NO","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","21.20","14.62","6.60","21.20","14.62","6.60","113.66","0.54","21.20","14.62","26","26","92","2"
"Tevin Coleman","RB","SF","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","4.80","6.61","-1.80","4.80","6.61","-1.80","61.25","0.08","4.80","6.61","14","14","48","0"
"Justin Jackson","RB","LAC","0","2","1.73","2","0.00","86.40%","1.00","11.63","10","0.01","0","3.00","2.94","0.10","2.00","2.08","-0.10","10","5.00","5.60","6.60","-1.00","4.60","5.74","-1.10","31.89","0.08","2.60","3.66","9","7","26","0"
"Kylin Hill","RB","GB","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","2.20","3.52","-1.30","2.20","3.52","-1.30","32.54","0.05","2.20","3.52","7","7","22","0"
"Marlon Mack","RB","IND","0","1","0.74","0","0.00","74.40%","0.00","4.84","0","0.00","0","0.00","1.23","-1.20","0.00","0.86","-0.90","0","","1.60","3.67","-2.10","1.60","3.30","-1.70","22.08","0.04","1.60","2.44","6","5","16","0"
"Eric Saubert","TE","JAX","0","3","2.24","2","0.00","74.60%","0.67","15.27","14","0.00","0","3.40","3.78","-0.40","2.40","2.66","-0.30","15","7.50","3.40","3.78","-0.40","2.40","2.66","-0.30","0.00","0.00","0.00","0.00","3","0","0","0"
"Devonta Freeman","RB","NYG","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","3.70","2.41","1.30","3.70","2.41","1.30","22.83","0.02","3.70","2.41","5","5","37","0"
"Damarea Crockett","RB","DEN","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","0.70","2.25","-1.50","0.70","2.25","-1.50","13.29","0.15","0.70","2.25","3","3","7","0"
"Matt Breida","RB","MIA","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","0.40","2.08","-1.70","0.40","2.08","-1.70","18.64","0.04","0.40","2.08","4","4","4","0"
"Corey Clement","RB","PHI","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","0.00","1.66","-1.70","0.00","1.66","-1.70","15.52","0.02","0.00","1.66","3","3","0","0"
"Trenton Cannon","RB","CAR","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","0.40","1.53","-1.10","0.40","1.53","-1.10","14.02","0.02","0.40","1.53","3","3","4","0"
"Alex Collins","RB","SEA","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","3.30","1.48","1.80","3.30","1.48","1.80","13.89","0.02","3.30","1.48","3","3","33","0"
"Parker Hesse","TE","ATL","0","1","0.78","0","0.00","78.00%","0.00","5.65","0","0.00","0","0.00","1.36","-1.40","0.00","0.97","-1.00","0","","0.00","1.36","-1.40","0.00","0.97","-1.00","0.00","0.00","0.00","0.00","1","0","0","0"
"Derek Watt","RB","PIT","0","1","0.73","1","0.00","72.60%","1.00","5.05","3","0.01","0","1.30","1.27","0.00","0.80","0.90","-0.10","3","3.00","1.30","1.27","0.00","0.80","0.90","-0.10","0.00","0.00","0.00","0.00","1","0","0","0"
"D'Ernest Johnson","RB","CLE","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","0.90","1.08","-0.20","0.90","1.08","-0.20","8.48","0.04","0.90","1.08","2","2","9","0"
"Josiah Deguara","TE","GB","0","1","0.73","1","0.00","73.20%","1.00","5.05","4","0.00","0","1.40","1.26","0.10","0.90","0.89","0.00","4","4.00","1.40","1.26","0.10","0.90","0.89","0.00","0.00","0.00","0.00","0.00","1","0","0","0"
"Jaret Patterson","RB","WAS","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","0.90","1.04","-0.10","0.90","1.04","-0.10","9.50","0.02","0.90","1.04","2","2","9","0"
"Benny Snell Jr.","RB","PIT","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","0.10","1.02","-0.90","0.10","1.02","-0.90","9.65","0.01","0.10","1.02","2","2","1","0"
"Rashaad Penny","RB","SEA","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","0.80","1.01","-0.20","0.80","1.01","-0.20","7.60","0.04","0.80","1.01","2","2","8","0"
"Raheem Mostert","RB","SF","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","2.00","0.99","1.00","2.00","0.99","1.00","9.70","0.00","2.00","0.99","2","2","20","0"
"Mekhi Sargent","RB","TEN","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","0.40","0.97","-0.60","0.40","0.97","-0.60","8.80","0.02","0.40","0.97","2","2","4","0"
"Jake Funk","RB","LAR","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","0.60","0.50","0.10","0.60","0.50","0.10","4.83","0.00","0.60","0.50","1","1","6","0"
"Alex Armah","RB","CAR","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","0.50","0.47","0.00","0.50","0.47","0.00","4.48","0.00","0.50","0.47","1","1","5","0"
"DeAndre Carter","WR","HOU","0","0","0.00","0","0.00","","0.00","0.00","0","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0","","0.20","0.43","-0.20","0.20","0.43","-0.20","4.31","0.00","0.20","0.43","1","1","2","0"
"JaMycal Hasty","RB","SF","-1","6","4.85","5","-0.17","80.80%","0.83","29.76","36","0.45","0","8.60","10.55","-2.00","6.10","8.13","-2.00","34","6.80","18.70","16.54","2.20","16.20","14.11","2.10","21.89","0.63","10.10","5.99","12","6","41","1"
"Larry Rountree III","RB","LAC","-1","2","1.48","1","-0.50","74.10%","0.50","11.09","-1","0.01","0","0.90","2.64","-1.70","0.40","1.90","-1.50","0","0.00","3.80","11.90","-8.10","3.30","11.16","-7.90","53.29","0.65","2.90","9.25","15","13","29","0"
"Kadarius Toney","WR","NYG","-1","5","4.03","4","-0.20","80.58%","0.80","32.29","14","0.08","0","5.40","7.72","-2.30","3.40","5.71","-2.30","24","6.00","5.40","7.72","-2.30","3.40","5.71","-2.30","0.00","0.00","0.00","0.00","5","0","0","0"
"Tommy Hudson","TE","TEN","-1","4","3.19","2","-0.25","79.80%","0.50","22.91","17","0.08","0","3.70","5.98","-2.30","2.70","4.39","-1.70","22","11.00","3.70","5.98","-2.30","2.70","4.39","-1.70","0.00","0.00","0.00","0.00","4","0","0","0"
"Preston Williams","WR","MIA","-1","3","2.22","1","-0.30","74.10%","0.33","15.37","2","0.00","0","1.20","3.78","-2.60","0.70","2.67","-2.00","1","1.00","1.20","3.78","-2.60","0.70","2.67","-2.00","0.00","0.00","0.00","0.00","3","0","0","0"
"Rhamondre Stevenson","RB","NE","-1","1","0.78","1","-1.00","77.70%","1.00","5.09","9","0.00","0","1.90","1.29","0.60","1.40","0.90","0.50","10","10.00","2.10","1.77","0.30","1.60","1.38","0.20","4.69","0.00","0.20","0.49","2","1","2","0"
"Jaelon Darden","WR","TB","-1","1","0.78","1","-1.00","77.70%","1.00","5.17","0","0.00","0","1.00","1.29","-0.30","0.50","0.91","-0.40","1","1.00","1.00","1.29","-0.30","0.50","0.91","-0.40","0.00","0.00","0.00","0.00","1","0","0","0"
"Equanimeous St. Brown","WR","GB","-1","1","0.68","1","-1.00","68.40%","1.00","4.18","0","0.00","0","1.00","1.10","-0.10","0.50","0.76","-0.30","1","1.00","1.00","1.10","-0.10","0.50","0.76","-0.30","0.00","0.00","0.00","0.00","1","0","0","0"
"Melvin Gordon III","RB","DEN","-2","7","5.38","6","-0.29","76.89%","0.86","39.77","76","0.06","0","13.60","9.72","3.90","10.60","7.02","3.60","69","11.50","44.90","37.27","7.60","41.90","34.58","7.30","178.15","1.62","31.30","27.55","49","42","193","2"
"Leonard Fournette","RB","TB","-2","14","11.56","12","-0.14","82.56%","0.86","81.68","77","0.31","0","19.70","21.56","-1.90","13.70","15.78","-2.10","83","6.92","28.90","34.68","-5.80","22.90","28.90","-6.00","102.01","0.49","9.20","13.12","38","24","92","0"
"Darrell Henderson Jr.","RB","LAR","-2","6","4.87","4","-0.33","81.10%","0.67","33.66","46","0.07","0","8.60","8.68","-0.10","6.60","6.24","0.40","44","11.00","32.90","32.36","0.50","30.90","29.93","1.00","113.74","2.05","24.30","23.69","35","29","123","2"
"Zack Moss","RB","BUF","-2","5","4.02","5","-0.40","80.46%","1.00","25.62","39","0.38","1","14.90","8.88","6.00","12.40","6.87","5.50","41","8.20","35.50","25.49","10.00","33.00","23.48","9.50","80.95","1.42","20.60","16.61","26","21","86","2"
"Michael Burton","RB","NO","-2","1","0.85","1","-2.00","84.90%","1.00","5.89","11","0.01","0","2.10","1.47","0.60","1.60","1.05","0.60","13","13.00","2.30","1.84","0.50","1.80","1.41","0.40","3.65","0.00","0.20","0.37","2","1","2","0"
"Zach Gentry","TE","PIT","-2","1","0.88","1","-2.00","88.20%","1.00","6.74","-2","0.01","0","0.80","1.61","-0.80","0.30","1.17","-0.90","0","0.00","0.80","1.61","-0.80","0.30","1.17","-0.90","0.00","0.00","0.00","0.00","1","0","0","0"
"Blake Bell","TE","DAL","-3","3","2.44","3","-1.00","81.20%","1.00","17.28","29","0.01","0","5.90","4.25","1.60","4.40","3.04","1.40","32","10.67","6.10","4.66","1.40","4.60","3.44","1.20","3.68","0.01","0.20","0.40","4","1","2","0"
"Rex Burkhead","RB","NE","-3","3","2.48","2","-1.00","82.60%","0.67","17.54","11","0.02","0","3.10","4.37","-1.30","2.10","3.14","-1.00","16","8.00","3.10","4.37","-1.30","2.10","3.14","-1.00","0.00","0.00","0.00","0.00","3","0","0","0"
"DeeJay Dallas","RB","SEA","-3","1","0.90","1","-3.00","89.70%","1.00","6.35","5","0.01","0","1.50","1.59","-0.10","1.00","1.14","-0.10","8","8.00","2.00","2.03","0.00","1.50","1.58","-0.10","3.88","0.01","0.50","0.44","2","1","5","0"
"Diontae Spencer","WR","DEN","-3","1","0.89","1","-3.00","88.80%","1.00","5.15","-3","0.03","0","0.70","1.58","-0.90","0.20","1.14","-0.90","0","0.00","0.70","1.58","-0.90","0.20","1.14","-0.90","0.00","0.00","0.00","0.00","1","0","0","0"
"Noah Gray","TE","KC","-3","1","0.91","1","-3.00","91.20%","1.00","6.32","5","0.00","0","1.50","1.54","0.00","1.00","1.09","-0.10","8","8.00","1.50","1.54","0.00","1.00","1.09","-0.10","0.00","0.00","0.00","0.00","1","0","0","0"
"Sony Michel","RB","NE","-4","4","3.23","3","-1.00","80.70%","0.75","23.58","12","0.01","0","4.20","5.66","-1.50","2.70","4.04","-1.30","19","6.33","15.70","21.72","-6.00","14.20","20.11","-5.90","138.86","0.36","11.50","16.06","35","31","115","0"
"Malcolm Brown","RB","LAR","-4","2","1.66","0","-2.00","83.10%","0.00","11.35","0","0.02","0","0.00","2.90","-2.90","0.00","2.07","-2.10","0","","12.80","16.91","-4.10","12.80","16.08","-3.30","65.52","1.24","12.80","14.00","19","17","68","1"
"Kareem Hunt","RB","CLE","-6","11","8.78","10","-0.55","79.80%","0.91","63.93","102","0.08","0","20.20","15.65","4.50","15.20","11.26","3.90","0","0.00","48.70","34.19","14.50","43.70","29.80","13.90","127.07","0.97","28.50","18.54","40","29","165","2"
"Aaron Jones","RB","GB","-7","10","8.12","10","-0.70","81.15%","1.00","42.57","75","1.46","3","35.50","21.16","14.30","30.50","17.10","13.40","82","8.20","63.30","49.15","14.10","58.30","45.10","13.20","167.59","1.87","27.80","27.99","51","41","158","2"
"Javonte Williams","RB","DEN","-7","6","5.00","5","-1.17","83.35%","0.83","34.02","39","0.06","0","8.90","8.78","0.10","6.40","6.28","0.10","43","8.60","28.70","37.53","-8.80","26.20","35.03","-8.80","164.62","2.05","19.80","28.76","45","39","138","1"
"Alexander Mattison","RB","MIN","-7","10","8.57","8","-0.70","85.71%","0.80","60.97","80","0.18","0","16.00","15.76","0.20","12.00","11.47","0.50","90","11.25","28.50","32.53","-4.00","24.50","28.24","-3.70","128.29","0.66","12.50","16.77","40","30","125","0"
"Phillip Lindsay","RB","DEN","-7","2","1.76","1","-3.50","88.05%","0.50","6.11","22","0.48","1","9.20","5.24","4.00","8.70","4.36","4.30","26","26.00","18.40","15.91","2.50","17.90","15.03","2.90","86.56","0.34","9.20","10.67","22","20","32","1"
"Chris Carson","RB","SEA","-8","5","4.07","5","-1.60","81.42%","1.00","28.65","28","0.02","0","7.80","7.04","0.80","5.30","5.01","0.30","36","7.20","46.00","32.80","13.20","43.50","30.77","12.70","178.06","1.33","38.20","25.76","46","41","202","3"
"Elijah Mitchell","RB","SF","-8","2","1.76","2","-4.00","88.05%","1.00","12.01","11","0.02","0","3.10","3.07","0.00","2.10","2.19","-0.10","19","9.50","23.70","23.47","0.20","22.70","22.59","0.10","158.11","0.76","20.60","20.40","38","36","146","1"
"Nick Chubb","RB","CLE","-9","3","2.45","3","-3.00","81.60%","1.00","16.81","21","0.02","0","5.10","4.25","0.80","3.60","3.03","0.60","30","10.00","49.30","33.61","15.70","47.80","32.38","15.40","200.12","1.56","44.20","29.35","51","48","262","3"
"Clyde Edwards-Helaire","RB","KC","-9","5","4.10","5","-1.80","82.08%","1.00","26.66","38","0.20","1","14.80","7.95","6.90","12.30","5.89","6.40","47","9.40","33.70","30.49","3.20","31.20","28.44","2.80","200.96","0.41","18.90","22.54","49","44","189","0"
"Myles Gaskin","RB","MIA","-11","16","12.91","12","-0.69","80.66%","0.75","91.65","57","0.05","0","17.70","22.36","-4.70","11.70","15.90","-4.20","59","4.92","31.60","36.61","-5.00","25.60","30.16","-4.60","131.02","0.19","13.90","14.25","43","27","139","0"
"Saquon Barkley","RB","NYG","-12","13","10.40","9","-0.92","79.98%","0.69","73.86","56","0.51","0","14.60","20.85","-6.30","10.10","15.65","-5.60","80","8.89","34.00","45.27","-11.30","29.50","40.07","-10.60","172.59","1.19","19.40","24.42","52","39","134","1"
"Boston Scott","RB","PHI","-13","2","1.72","2","-6.50","85.95%","1.00","9.21","5","0.00","0","2.50","2.66","-0.20","1.50","1.80","-0.30","18","9.00","2.50","2.66","-0.20","1.50","1.80","-0.30","0.00","0.00","0.00","0.00","2","0","0","0"
"Dalvin Cook","RB","MIN","-14","10","8.34","8","-1.40","83.37%","0.80","57.91","60","0.07","0","14.00","14.52","-0.50","10.00","10.35","-0.40","69","8.63","39.20","37.95","1.20","35.20","33.79","1.40","187.72","0.78","25.20","23.43","52","42","192","1"
"D'Andre Swift","RB","DET","-18","23","18.38","19","-0.78","79.92%","0.83","129.32","166","0.63","1","41.60","35.08","6.50","32.10","25.88","6.20","203","10.68","59.90","57.70","2.20","50.40","48.51","1.90","137.87","1.47","18.30","22.63","56","33","123","1"
"Cordarrelle Patterson","WR","CHI","-19","16","12.58","13","-1.19","78.62%","0.81","86.97","153","0.39","1","34.30","23.59","10.70","27.80","17.30","10.50","150","11.54","48.80","37.08","11.70","42.30","30.79","11.50","89.54","0.76","14.50","13.49","37","21","85","1"
"Kenneth Gainwell","RB","PHI","-19","10","8.09","7","-1.90","80.85%","0.70","53.91","56","0.15","0","12.60","14.35","-1.70","9.10","10.31","-1.20","71","10.14","23.90","22.97","0.90","20.40","18.93","1.50","69.65","0.28","11.30","8.62","26","16","53","1"
"Miles Sanders","RB","PHI","-21","11","9.02","8","-1.91","82.04%","0.73","58.11","71","0.17","0","15.10","15.83","-0.70","11.10","11.32","-0.20","99","12.38","30.70","33.36","-2.70","26.70","28.85","-2.10","132.96","0.70","15.60","17.53","41","30","156","0"
"Tony Pollard","RB","DAL","-21","8","6.95","8","-2.63","86.85%","1.00","45.78","65","0.10","0","14.50","12.13","2.40","10.50","8.66","1.80","86","10.75","38.80","26.78","12.00","34.80","23.30","11.50","120.54","0.43","24.30","14.65","35","27","183","1"
"Jonathan Taylor","RB","IND","-23","11","9.03","8","-2.09","82.12%","0.73","57.98","70","0.19","0","15.00","15.99","-1.00","11.00","11.47","-0.50","83","10.38","32.10","51.53","-19.40","28.10","47.01","-18.90","156.10","3.32","17.10","35.54","53","42","171","0"
"Mike Davis","RB","CAR","-24","17","13.65","14","-1.41","80.31%","0.82","91.35","68","0.78","0","20.80","27.46","-6.70","13.80","20.63","-6.80","91","6.50","34.50","49.38","-14.90","27.50","42.56","-15.10","156.25","1.05","13.70","21.92","53","36","137","0"
